"Player","Team","REC","YDS","TDS","RATT","RYDS","RTDS","FL","FPTS"
"Bryce Ford-Wheaton","NYG","0.0","70.1","0.0","0.3","1.8","0.0","0.0","0.0"
"Xavier Hutchinson","HOU","0.0","297.8","0.1","1.2","7.4","0.1","0.2","0.0"
"Tyler Scott","CHI","0.0","213.7","0.0","0.9","5.3","0.0","0.1","0.0"
"Demetric Felton Jr.","CLE","0.0","93.7","0.0","0.4","2.4","0.0","0.1","0.0"
"Jalen Brooks","DAL","0.0","46.6","0.0","0.2","1.2","0.0","0.0","0.0"
"Austin Watkins Jr.","CLE","0.0","46.6","0.0","0.2","1.2","0.0","0.0","0.0"
"Quintez Cephus","DET","0.0","31.1","0.0","0.0","0.0","0.0","0.0","0.0"
"A.T. Perry","NO","0.0","274.4","0.1","1.1","6.8","0.1","0.2","0.0"
""
""
